run_name,run_dir,model_family,encoder,train_mode,size_hw,epochs,batch,aug,aug_repeats,loss_name,val_loss,val_mIoU,test_loss,test_mIoU,train_time_sec,last_loss,last_val_loss,best_val_loss,best_val_loss_epoch,last_mIoU,last_val_mIoU,best_val_mIoU,best_val_mIoU_epoch,val_mIoU_tail_mean,val_mIoU_tail_std,last_lr,n_epochs_ran,best_model_path,pred_grid_png,loss_png,miou_png,score_main
RESNET50_FROZEN_256x256_b4_aug1_ce_dice,/home/ui/PROJ8/out/experiments/RESNET50_FROZEN_256x256_b4_aug1_ce_dice,unet,resnet50,frozen,"(256, 256)",,4,True,1,ce_dice,0.3793110251426697,0.7440221905708313,0.3332439959049225,0.7639392614364624,11552.66870713234,0.32774418592453003,0.38297367095947266,0.3774305284023285,32,0.7578558325767517,0.7433037757873535,0.7440221905708313,37,0.7434941530227661,0.0004847916425205767,0.0001250000059371814,40,,/home/ui/PROJ8/out/experiments/RESNET50_FROZEN_256x256_b4_aug1_ce_dice/pred_grid.png,/home/ui/PROJ8/out/experiments/RESNET50_FROZEN_256x256_b4_aug1_ce_dice/loss.png,/home/ui/PROJ8/out/experiments/RESNET50_FROZEN_256x256_b4_aug1_ce_dice/miou.png,0.7639392614364624
RESNET50_FT_256x256_b4_aug1_ce_dice,/home/ui/PROJ8/out/experiments/RESNET50_FT_256x256_b4_aug1_ce_dice,unet,resnet50,finetune,"(256, 256)",,4,True,1,ce_dice,0.3620714843273163,0.7470679879188538,0.32010388374328613,0.7664610147476196,13232.389509916306,0.34493914246559143,0.3620714843273163,0.3620714843273163,30,0.7471233010292053,0.7470679879188538,0.7470679879188538,30,0.742447018623352,0.0027745182160288095,0.0001250000059371814,30,,/home/ui/PROJ8/out/experiments/RESNET50_FT_256x256_b4_aug1_ce_dice/pred_grid.png,/home/ui/PROJ8/out/experiments/RESNET50_FT_256x256_b4_aug1_ce_dice/loss.png,/home/ui/PROJ8/out/experiments/RESNET50_FT_256x256_b4_aug1_ce_dice/miou.png,0.7664610147476196
UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42,unet,scratch,scratch,"(128, 128)",5.0,8,False,1,ce,0.3678223788738251,0.6281362175941467,0.3359902501106262,0.6488019227981567,1182.3437721729279,0.3274695575237274,0.3678223788738251,0.3678223788738251,5,0.6495575904846191,0.6281362175941467,0.6281362175941467,5,0.5478984713554382,0.08444957435131073,0.0010000000474974513,5,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42/UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42.keras,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42/pred_grid.png,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42/loss.png,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42/miou.png,0.6488019227981567
UNET_SCRATCH_128x128_b8_aug1_rep1_ce_e10_seed42,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_128x128_b8_aug1_rep1_ce_e10_seed42,unet,scratch,scratch,"(128, 128)",10.0,8,True,1,ce,0.4204734265804291,0.6043614149093628,0.3778952956199646,0.6309226751327515,2367.6531479358673,0.4205125570297241,0.4204734265804291,0.41864264011383057,8,0.5888954997062683,0.6043614149093628,0.6043614149093628,10,0.5835950970649719,0.014095175080001354,0.0010000000474974513,10,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_128x128_b8_aug1_rep1_ce_e10_seed42/UNET_SCRATCH_128x128_b8_aug1_rep1_ce_e10_seed42.keras,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_128x128_b8_aug1_rep1_ce_e10_seed42/pred_grid.png,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_128x128_b8_aug1_rep1_ce_e10_seed42/loss.png,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_128x128_b8_aug1_rep1_ce_e10_seed42/miou.png,0.6309226751327515
UNET_SCRATCH_256x256_b4_aug0_rep1_ce_e5_seed42,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug0_rep1_ce_e5_seed42,unet,scratch,scratch,"(256, 256)",5.0,4,False,1,ce,0.3452959954738617,0.64772629737854,0.31434258818626404,0.6710139513015747,1466.4445674419403,0.3018213212490082,0.37088218331336975,0.3452959954738617,4,0.6731981039047241,0.631090521812439,0.64772629737854,4,0.5928700566291809,0.04737111181020737,0.0010000000474974513,5,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug0_rep1_ce_e5_seed42/UNET_SCRATCH_256x256_b4_aug0_rep1_ce_e5_seed42.keras,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug0_rep1_ce_e5_seed42/pred_grid.png,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug0_rep1_ce_e5_seed42/loss.png,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug0_rep1_ce_e5_seed42/miou.png,0.6710139513015747
UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e10_seed42,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e10_seed42,unet,scratch,scratch,"(256, 256)",10.0,4,True,1,ce_dice,0.5261054039001465,0.6593362092971802,0.47032541036605835,0.6814644932746887,2958.684038877487,0.5263623595237732,0.5261054039001465,0.5261054039001465,10,0.6502110958099365,0.6593362092971802,0.6593362092971802,10,0.6486878395080566,0.010604465380311012,0.0010000000474974513,10,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e10_seed42/UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e10_seed42.keras,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e10_seed42/pred_grid.png,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e10_seed42/loss.png,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e10_seed42/miou.png,0.6814644932746887
UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e40_seed42,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e40_seed42,unet,scratch,scratch,"(256, 256)",40.0,4,True,1,ce_dice,0.3502121567726135,0.7538622617721558,0.3142503499984741,0.7718981504440308,11925.037594079971,0.3447926640510559,0.35718080401420593,0.3502121567726135,37,0.7511110305786133,0.7526562213897705,0.7538622617721558,37,0.7526122331619263,0.0010895263403654099,0.0002500000118743628,40,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e40_seed42/UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e40_seed42.keras,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e40_seed42/pred_grid.png,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e40_seed42/loss.png,/home/ui/PROJ8/out/experiments/UNET_SCRATCH_256x256_b4_aug1_rep1_ce_dice_e40_seed42/miou.png,0.7718981504440308
VGG16_FROZEN_256x256_b4_aug1_ce_dice,/home/ui/PROJ8/out/experiments/VGG16_FROZEN_256x256_b4_aug1_ce_dice,unet,vgg16,frozen,"(256, 256)",,4,True,1,ce_dice,0.4287886917591095,0.7170036435127258,0.37529608607292175,0.739793062210083,12095.548187732697,0.36581113934516907,0.42953169345855713,0.4249940514564514,28,0.7418645024299622,0.7169533967971802,0.7170036435127258,38,0.7163993120193481,0.0005033311317674816,0.0001250000059371814,40,,/home/ui/PROJ8/out/experiments/VGG16_FROZEN_256x256_b4_aug1_ce_dice/pred_grid.png,/home/ui/PROJ8/out/experiments/VGG16_FROZEN_256x256_b4_aug1_ce_dice/loss.png,/home/ui/PROJ8/out/experiments/VGG16_FROZEN_256x256_b4_aug1_ce_dice/miou.png,0.739793062210083
VGG16_FT_256x256_b4_aug1_ce_dice,/home/ui/PROJ8/out/experiments/VGG16_FT_256x256_b4_aug1_ce_dice,unet,vgg16,finetune,"(256, 256)",,4,True,1,ce_dice,0.36784419417381287,0.7465164661407471,0.3222261369228363,0.768835186958313,10008.115595817566,0.40006303787231445,0.3840884566307068,0.36784419417381287,29,0.7208782434463501,0.7401118278503418,0.7465164661407471,29,0.7328445315361023,0.01306669320911169,0.0010000000474974513,30,/home/ui/PROJ8/out/experiments/VGG16_FT_256x256_b4_aug1_ce_dice/best_model.keras,/home/ui/PROJ8/out/experiments/VGG16_FT_256x256_b4_aug1_ce_dice/pred_grid.png,/home/ui/PROJ8/out/experiments/VGG16_FT_256x256_b4_aug1_ce_dice/loss.png,/home/ui/PROJ8/out/experiments/VGG16_FT_256x256_b4_aug1_ce_dice/miou.png,0.768835186958313
